"Airports";"Periods";"Aircraft movements/Cross-country flights (number)";"Aircraft movements/Local flights (number)";"Commercial air traffic/Flights/Arrivals/Total arrivals flights (number)";"Commercial air traffic/Flights/Arrivals/Scheduled (number)";"Commercial air traffic/Flights/Arrivals/Non-scheduled (number)";"Commercial air traffic/Flights/Departures/Total departures flights (number)";"Commercial air traffic/Flights/Departures/Scheduled (number)";"Commercial air traffic/Flights/Departures/Non-scheduled (number)";"Commercial air traffic/Passengers/Passenger arrivals/Total arrivals passengers (number)";"Commercial air traffic/Passengers/Passenger arrivals/Scheduled (number)";"Commercial air traffic/Passengers/Passenger arrivals/Non-scheduled (number)";"Commercial air traffic/Passengers/Passenger departures/Total departures passengers (number)";"Commercial air traffic/Passengers/Passenger departures/Scheduled (number)";"Commercial air traffic/Passengers/Passenger departures/Non-scheduled (number)";"Commercial air traffic/Passengers/Country of origin/destination/Total country of origin/destination (number)";"Commercial air traffic/Passengers/Country of origin/destination/Europe/Europe total (number)";"Commercial air traffic/Passengers/Country of origin/destination/Europe/EU countries (number)";"Commercial air traffic/Passengers/Country of origin/destination/Europe/Other Europe (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Total intercontinental passengers (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/North Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/West Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/Central Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/East Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Africa/South Africa (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/America/America (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/America/North America (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/America/Central America (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/America/South America (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Asia/Asia (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Asia/West Asia (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Asia/South-East Asia (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Asia/North-East Asia (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Oceania (number)";"Commercial air traffic/Passengers/Country of origin/destination/Intercontinental/Other/unknown (number)";"Commercial air traffic/Passengers/Country of origin/destination/Unknown (number)"
"Amsterdam Airport Schiphol";"1999 January";"   30391";"     672";"   14816";"   14103";"     713";"   14824";"   14074";"     750";" 1192304";" 1112747";"   79557";" 1180274";" 1104118";"   76156";" 2372578";" 1496494";" 1256091";"  240403";"  876084";"  113309";"   41140";"   26043";"       0";"   22468";"   23658";"  455002";"  334326";"   62282";"   58394";"  298997";"   88737";"  129031";"   81229";"    8776";"       0";"       0"
"Amsterdam Airport Schiphol";"1999 February";"   28302";"     550";"   13760";"   13047";"     713";"   13766";"   13033";"     733";" 1157235";" 1076915";"   80320";" 1175429";" 1087675";"   87754";" 2332664";" 1534949";" 1299095";"  235854";"  797715";"  107207";"   45879";"   20988";"       0";"   20581";"   19759";"  408987";"  301060";"   57645";"   50282";"  274295";"   82654";"  110775";"   80866";"    7226";"       0";"       0"
"Amsterdam Airport Schiphol";"1999 March";"   32595";"     784";"   15745";"   14878";"     867";"   15728";"   14868";"     860";" 1418232";" 1323412";"   94820";" 1407096";" 1309286";"   97810";" 2825328";" 1837844";" 1558660";"  279184";"  987484";"  117193";"   53063";"   22334";"       0";"   20775";"   21021";"  531834";"  418994";"   59761";"   53079";"  330139";"  105905";"  120094";"  104140";"    8318";"       0";"       0"
"Amsterdam Airport Schiphol";"1999 April";"   33069";"     858";"   15999";"   14914";"    1085";"   16014";"   14920";"    1094";" 1430660";" 1316088";"  114572";" 1470818";" 1325753";"  145065";" 2901478";" 1926831";" 1636049";"  290782";"  974647";"  111309";"   51800";"   21994";"      71";"   17873";"   19571";"  524706";"  427737";"   51104";"   45865";"  331128";"  114182";"  109316";"  107630";"    7504";"       0";"       0"
"Amsterdam Airport Schiphol";"1999 May";"   35221";"     732";"   17070";"   15369";"    1701";"   17063";"   15374";"    1689";" 1635931";" 1397979";"  237952";" 1628024";" 1370713";"  257311";" 3263955";" 2231219";" 1881899";"  349320";" 1032736";"  111085";"   50951";"   21314";"       0";"   20057";"   18763";"  588521";"  487429";"   52679";"   48413";"  326257";"  112851";"  105889";"  107517";"    6873";"       0";"       0"
"Amsterdam Airport Schiphol";"1999 June";"   34707";"     828";"   16715";"   15195";"    1520";"   16711";"   15196";"    1515";" 1595150";" 1391589";"  203561";" 1631588";" 1401887";"  229701";" 3226738";" 2179958";" 1819314";"  360644";" 1046780";"  110111";"   44648";"   21736";"       0";"   24634";"   19093";"  614953";"  512995";"   49251";"   52707";"  314288";"  106125";"  101899";"  106264";"    7428";"       0";"       0"
"Amsterdam Airport Schiphol";"1999 July";"   36589";"     832";"   17754";"   15763";"    1991";"   17775";"   15777";"    1998";" 1693176";" 1420736";"  272440";" 1917610";" 1541110";"  376500";" 3610786";" 2420422";" 1974481";"  445941";" 1190364";"  145286";"   68439";"   27096";"       0";"   29206";"   20545";"  670512";"  538704";"   63558";"   68250";"  365967";"  128138";"  116167";"  121662";"    8599";"       0";"       0"
"Amsterdam Airport Schiphol";"1999 August";"   36485";"     678";"   17818";"   15773";"    2045";"   17807";"   15745";"    2062";" 1937342";" 1549037";"  388305";" 1771932";" 1456064";"  315868";" 3709274";" 2461637";" 2003578";"  458059";" 1247637";"  150400";"   71232";"   28745";"       0";"   29125";"   21298";"  692770";"  554157";"   66641";"   71972";"  395456";"  150219";"  123020";"  122217";"    9011";"       0";"       0"
"Amsterdam Airport Schiphol";"1999 September";"   35656";"     726";"   17203";"   15515";"    1688";"   17208";"   15510";"    1698";" 1742014";" 1472698";"  269316";" 1725171";" 1481186";"  243985";" 3467185";" 2340328";" 1964517";"  375811";" 1126857";"  134339";"   60075";"   25833";"       0";"   26909";"   21522";"  634140";"  512282";"   56997";"   64861";"  350160";"  121234";"  111050";"  117876";"    8218";"       0";"       0"
"Amsterdam Airport Schiphol";"1999 October";"   36292";"     620";"   17566";"   15994";"    1572";"   17560";"   15997";"    1563";" 1738734";" 1495431";"  243303";" 1710912";" 1506628";"  204284";" 3449646";" 2300568";" 1918892";"  381676";" 1149078";"  137098";"   64478";"   22941";"       0";"   27628";"   22051";"  628633";"  501679";"   62796";"   64158";"  374954";"  134680";"  122041";"  118233";"    8393";"       0";"       0"
"Amsterdam Airport Schiphol";"1999 November";"   34169";"     622";"   16596";"   15757";"     839";"   16586";"   15763";"     823";" 1415707";" 1320568";"   95139";" 1387244";" 1303652";"   83592";" 2802951";" 1819948";" 1534115";"  285833";"  983003";"  123495";"   54467";"   23361";"       0";"   23166";"   22501";"  515870";"  394949";"   65438";"   55483";"  335969";"  105347";"  132419";"   98203";"    7669";"       0";"       0"
"Amsterdam Airport Schiphol";"1999 December";"   32288";"     548";"   15799";"   15040";"     759";"   15722";"   14974";"     748";" 1229667";" 1165743";"   63924";" 1232863";" 1168361";"   64502";" 2462530";" 1584168";" 1321947";"  262221";"  878362";"  111273";"   40756";"   25924";"     113";"   24003";"   20477";"  464360";"  351598";"   63871";"   48891";"  295176";"   92084";"  119712";"   83380";"    7553";"       0";"       0"
"Amsterdam Airport Schiphol";"2000 January";"   33358";"     288";"   16229";"   15491";"     738";"   16308";"   15585";"     723";" 1243881";" 1170076";"   73805";" 1246764";" 1172346";"   74418";" 2490645";" 1582157";" 1317313";"  264844";"  908488";"  117626";"   44185";"   25839";"       0";"   25967";"   21635";"  468432";"  349329";"   66030";"   53073";"  314367";"   91217";"  135072";"   88078";"    8063";"       0";"       0"
"Amsterdam Airport Schiphol";"2000 February";"   32989";"     304";"   15951";"   15216";"     735";"   15943";"   15219";"     724";" 1251605";" 1177679";"   73926";" 1309915";" 1223629";"   86286";" 2561520";" 1675373";" 1410946";"  264427";"  886147";"  119506";"   49765";"   20957";"       0";"   28116";"   20668";"  444379";"  328231";"   64948";"   51200";"  314424";"   91834";"  130297";"   92293";"    7838";"       0";"       0"
"Amsterdam Airport Schiphol";"2000 March";"   35420";"     273";"   17127";"   16224";"     903";"   17136";"   16231";"     905";" 1557499";" 1445451";"  112048";" 1510055";" 1400930";"  109125";" 3067554";" 2017959";" 1687684";"  330275";" 1049595";"  131527";"   63162";"   22197";"       0";"   24842";"   21326";"  555392";"  432298";"   65897";"   57197";"  354650";"  114210";"  132135";"  108305";"    8026";"       0";"       0"
"Amsterdam Airport Schiphol";"2000 April";"   35030";"     342";"   16906";"   15667";"    1239";"   16909";"   15680";"    1229";" 1582875";" 1448837";"  134038";" 1644076";" 1463744";"  180332";" 3226951";" 2142676";" 1777869";"  364807";" 1084275";"  129266";"   61816";"   23761";"       0";"   23023";"   20666";"  575714";"  462896";"   58643";"   54175";"  371629";"  129843";"  124354";"  117432";"    7666";"       0";"       0"
"Amsterdam Airport Schiphol";"2000 May";"   37911";"     412";"   18276";"   16500";"    1776";"   18263";"   16494";"    1769";" 1768981";" 1524167";"  244814";" 1777512";" 1519384";"  258128";" 3546493";" 2441992";" 2009697";"  432295";" 1104501";"  117623";"   53218";"   23104";"       0";"   21799";"   19502";"  623217";"  516326";"   56380";"   50511";"  355685";"  122579";"  113051";"  120055";"    7976";"       0";"       0"
"Amsterdam Airport Schiphol";"2000 June";"   36727";"     308";"   17603";"   15951";"    1652";"   17603";"   15951";"    1652";" 1748085";" 1500882";"  247203";" 1744702";" 1485725";"  258977";" 3492787";" 2373124";" 1923068";"  450056";" 1119663";"  118334";"   47572";"   24193";"       0";"   27833";"   18736";"  655471";"  545320";"   57187";"   52964";"  339040";"  110585";"  110128";"  118327";"    6818";"       0";"       0"
"Amsterdam Airport Schiphol";"2000 July";"   38287";"     338";"   18553";"   16378";"    2175";"   18555";"   16385";"    2170";" 1856012";" 1540423";"  315589";" 2096251";" 1677969";"  418282";" 3952263";" 2674616";" 2134416";"  540200";" 1277647";"  152630";"   66488";"   30173";"       0";"   34798";"   21171";"  714381";"  575286";"   67789";"   71306";"  403142";"  141439";"  125555";"  136148";"    7494";"       0";"       0"
"Amsterdam Airport Schiphol";"2000 August";"   38300";"     388";"   18626";"   16436";"    2190";"   18632";"   16440";"    2192";" 2060959";" 1646689";"  414270";" 1871113";" 1538489";"  332624";" 3932072";" 2648907";" 2110330";"  538577";" 1283165";"  162638";"   73959";"   30327";"       0";"   37520";"   20832";"  702802";"  562749";"   66755";"   73298";"  409908";"  150100";"  127893";"  131915";"    7817";"       0";"       0"
"Amsterdam Airport Schiphol";"2000 September";"   36788";"     309";"   17752";"   15915";"    1837";"   17744";"   15931";"    1813";" 1857698";" 1565323";"  292375";" 1862586";" 1574520";"  288066";" 3720284";" 2533364";" 2065190";"  468174";" 1186920";"  148315";"   64804";"   28002";"       0";"   35140";"   20369";"  650945";"  527122";"   59118";"   64705";"  380381";"  126136";"  121304";"  132941";"    7279";"       0";"       0"
"Amsterdam Airport Schiphol";"2000 October";"   37315";"     253";"   18087";"   16350";"    1737";"   18083";"   16339";"    1744";" 1857661";" 1578422";"  279239";" 1793894";" 1568480";"  225414";" 3651555";" 2475461";" 2014934";"  460527";" 1176094";"  152229";"   68710";"   26308";"       0";"   36218";"   20993";"  620993";"  495824";"   60822";"   64347";"  394934";"  129359";"  132597";"  132978";"    7938";"       0";"       0"
"Amsterdam Airport Schiphol";"2000 November";"   34018";"     310";"   16455";"   15607";"     848";"   16447";"   15615";"     832";" 1467988";" 1369479";"   98509";" 1446984";" 1358877";"   88107";" 2914972";" 1901315";" 1581188";"  320127";" 1013657";"  135438";"   56348";"   25355";"       0";"   32104";"   21631";"  521696";"  398413";"   64304";"   58979";"  348726";"   96316";"  142380";"  110030";"    7797";"       0";"       0"
"Amsterdam Airport Schiphol";"2000 December";"   32546";"     245";"   15874";"   15020";"     854";"   15865";"   15022";"     843";" 1326896";" 1247741";"   79155";" 1386618";" 1297174";"   89444";" 2713514";" 1731137";" 1431939";"  299198";"  982377";"  130309";"   46088";"   27859";"       0";"   35461";"   20901";"  505127";"  373751";"   67570";"   63806";"  338342";"   92897";"  140959";"  104486";"    8599";"       0";"       0"
"Amsterdam Airport Schiphol";"2001 January";"   33669";"     282";"   16416";"   15606";"     810";"   16419";"   15606";"     813";" 1372944";" 1290819";"   82125";" 1331053";" 1253833";"   77220";" 2703997";" 1706476";" 1418968";"  287508";"  997521";"  139257";"   52839";"   27249";"       0";"   37573";"   21596";"  495888";"  360595";"   71633";"   63660";"  353274";"   93247";"  156379";"  103648";"    9102";"       0";"       0"
"Amsterdam Airport Schiphol";"2001 February";"   31384";"     259";"   15219";"   14389";"     830";"   15217";"   14398";"     819";" 1267878";" 1188028";"   79850";" 1323495";" 1231084";"   92411";" 2591373";" 1698103";" 1417395";"  280708";"  893270";"  128834";"   52223";"   22648";"     338";"   35237";"   18388";"  432925";"  315078";"   64921";"   52926";"  324347";"   88845";"  139103";"   96399";"    7164";"       0";"       0"
"Amsterdam Airport Schiphol";"2001 March";"   35662";"     255";"   17261";"   16218";"    1043";"   17268";"   16215";"    1053";" 1606317";" 1483602";"  122715";" 1557431";" 1439315";"  118116";" 3163748";" 2078101";" 1710801";"  367300";" 1085647";"  145156";"   68269";"   25782";"       0";"   30774";"   20331";"  554418";"  424649";"   72997";"   56772";"  380875";"  118069";"  144062";"  118744";"    5198";"       0";"       0"
"Amsterdam Airport Schiphol";"2001 April";"   35132";"     314";"   17081";"   15830";"    1251";"   17070";"   15844";"    1226";" 1653479";" 1522618";"  130861";" 1701658";" 1531119";"  170539";" 3355137";" 2243954";" 1845993";"  397961";" 1111183";"  136403";"   59433";"   27434";"       0";"   27429";"   22107";"  598527";"  472190";"   65935";"   60402";"  376253";"  126038";"  135299";"  114916";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2001 May";"   38467";"     409";"   18622";"   16802";"    1820";"   18633";"   16807";"    1826";" 1802284";" 1550481";"  251803";" 1811418";" 1534643";"  276775";" 3613702";" 2516386";" 2018074";"  498312";" 1097316";"  123465";"   53362";"   24597";"       0";"   25390";"   20116";"  618800";"  498546";"   63237";"   57017";"  355051";"  118043";"  122319";"  114689";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2001 June";"   37382";"     277";"   18100";"   16360";"    1740";"   18109";"   16364";"    1745";" 1840121";" 1591618";"  248503";" 1846652";" 1580222";"  266430";" 3686773";" 2519289";" 2020261";"  499028";" 1167484";"  136514";"   49171";"   26719";"       0";"   38801";"   21823";"  660362";"  532896";"   63470";"   63996";"  370608";"  120532";"  125574";"  124502";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2001 July";"   39373";"     328";"   19193";"   16982";"    2211";"   19193";"   16992";"    2201";" 1931531";" 1609079";"  322452";" 2167185";" 1749960";"  417225";" 4098716";" 2804259";" 2207429";"  596830";" 1294457";"  162892";"   66061";"   32038";"       0";"   42277";"   22516";"  691505";"  531701";"   80376";"   79428";"  440060";"  161025";"  145447";"  133588";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2001 August";"   39329";"     309";"   19223";"   16995";"    2228";"   19228";"   16992";"    2236";" 2133641";" 1727518";"  406123";" 1929876";" 1594983";"  334893";" 4063517";" 2749663";" 2183373";"  566290";" 1313854";"  169015";"   73192";"   32888";"       0";"   40407";"   22528";"  689852";"  535342";"   75699";"   78811";"  454987";"  176035";"  144805";"  134147";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2001 September";"   37418";"     269";"   18219";"   16321";"    1898";"   18213";"   16313";"    1900";" 1776240";" 1482290";"  293950";" 1775249";" 1486048";"  289201";" 3551489";" 2494721";" 1990813";"  503908";" 1056768";"  146581";"   56918";"   30426";"       0";"   36440";"   22797";"  537573";"  402137";"   65126";"   70310";"  372614";"  120716";"  126840";"  125058";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2001 October";"   37554";"     316";"   18244";"   16509";"    1735";"   18242";"   16506";"    1736";" 1643771";" 1388243";"  255528";" 1582892";" 1373425";"  209467";" 3226663";" 2290737";" 1839589";"  451148";"  935926";"  144036";"   55715";"   27611";"       0";"   37410";"   23300";"  465976";"  334381";"   70863";"   60732";"  325914";"  102208";"  119984";"  103722";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2001 November";"   32090";"     304";"   15532";"   14836";"     696";"   15527";"   14827";"     700";" 1334350";" 1259176";"   75174";" 1322492";" 1255180";"   67312";" 2656842";" 1831133";" 1535292";"  295841";"  825709";"  119551";"   35052";"   29530";"       0";"   30698";"   24271";"  419974";"  291684";"   70687";"   57603";"  286184";"   75795";"  121009";"   89380";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2001 December";"   31022";"     252";"   15114";"   14451";"     663";"   15113";"   14451";"     662";" 1266484";" 1209481";"   57003";" 1331000";" 1264306";"   66694";" 2597484";" 1710139";" 1421090";"  289049";"  887345";"  126532";"   34304";"   32794";"      36";"   31620";"   27778";"  453844";"  314131";"   77028";"   62685";"  306969";"   88131";"  125785";"   93053";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2002 January";"   31655";"     266";"   15409";"   14757";"     652";"   15426";"   14761";"     665";" 1304963";" 1242319";"   62644";" 1267436";" 1209153";"   58283";" 2572399";" 1658347";" 1385422";"  272925";"  914052";"  138824";"   39232";"   34819";"      71";"   35467";"   29235";"  448415";"  309836";"   76803";"   61776";"  326813";"   86132";"  140592";"  100089";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2002 February";"   29298";"     260";"   14229";"   13547";"     682";"   14224";"   13549";"     675";" 1278061";" 1207176";"   70885";" 1318570";" 1236632";"   81938";" 2596631";" 1755008";" 1473719";"  281289";"  841623";"  135528";"   43252";"   30461";"      30";"   35035";"   26750";"  402249";"  279642";"   68276";"   54331";"  303846";"   83976";"  126986";"   92884";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2002 March";"   33488";"     372";"   16175";"   15305";"     870";"   16190";"   15320";"     870";" 1592617";" 1495938";"   96679";" 1572608";" 1471314";"  101294";" 3165225";" 2127732";" 1765422";"  362310";" 1037493";"  157328";"   54815";"   35549";"       0";"   36257";"   30707";"  518028";"  381771";"   73719";"   62538";"  362137";"  107118";"  136231";"  118788";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2002 April";"   34175";"     283";"   16558";"   15341";"    1217";"   16549";"   15337";"    1212";" 1601630";" 1484463";"  117167";" 1701515";" 1526491";"  175024";" 3303145";" 2312401";" 1880116";"  432285";"  990744";"  136071";"   49903";"   32906";"      70";"   25756";"   27436";"  507066";"  380914";"   68891";"   57261";"  347607";"  107360";"  123931";"  116316";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2002 May";"   36835";"     347";"   17795";"   16038";"    1757";"   17804";"   16042";"    1762";" 1874934";" 1613973";"  260961";" 1823313";" 1557087";"  266226";" 3698247";" 2658970";" 2101262";"  557708";" 1039277";"  127942";"   45564";"   29553";"       0";"   27695";"   25130";"  563262";"  440105";"   70155";"   53002";"  348073";"  109342";"  120597";"  118134";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2002 June";"   35744";"     355";"   17257";"   15608";"    1649";"   17262";"   15605";"    1657";" 1808523";" 1581431";"  227092";" 1860108";" 1605871";"  254237";" 3668631";" 2561913";" 2029698";"  532215";" 1106718";"  138219";"   43274";"   31905";"       0";"   36051";"   26989";"  608582";"  482385";"   68328";"   57869";"  359917";"  116337";"  118960";"  124620";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2002 July";"   38056";"     297";"   18489";"   16403";"    2086";"   18484";"   16400";"    2084";" 1965535";" 1659676";"  305859";" 2164898";" 1775705";"  389193";" 4130433";" 2897866";" 2239649";"  658217";" 1232567";"  169150";"   63743";"   34353";"       0";"   42633";"   28421";"  656689";"  496550";"   88072";"   72067";"  406728";"  147451";"  132312";"  126965";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2002 August";"   37560";"     349";"   18419";"   16275";"    2144";"   18421";"   16271";"    2150";" 2161757";" 1773642";"  388115";" 1969643";" 1651977";"  317666";" 4131400";" 2863699";" 2229055";"  634644";" 1267701";"  174621";"   64605";"   36526";"       0";"   41842";"   31648";"  665832";"  506747";"   83303";"   75782";"  427248";"  162856";"  132314";"  132078";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2002 September";"   36214";"     302";"   17560";"   15822";"    1738";"   17551";"   15823";"    1728";" 1922853";" 1656533";"  266320";" 1941505";" 1668618";"  272887";" 3864358";" 2717046";" 2156418";"  560628";" 1147312";"  161988";"   53989";"   36978";"       0";"   39689";"   31332";"  605003";"  465062";"   72097";"   67844";"  380321";"  124270";"  125131";"  130920";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2002 October";"   36788";"     269";"   17830";"   16098";"    1732";"   17833";"   16090";"    1743";" 1890032";" 1623337";"  266695";" 1831078";" 1616539";"  214539";" 3721110";" 2599838";" 2040262";"  559576";" 1121272";"  168404";"   63519";"   32987";"       0";"   39648";"   32250";"  584454";"  448017";"   74999";"   61438";"  368414";"  114685";"  129357";"  124372";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2002 November";"   32685";"     286";"   15836";"   15010";"     826";"   15834";"   15009";"     825";" 1455318";" 1375270";"   80048";" 1437214";" 1364394";"   72820";" 2892532";" 1932027";" 1601991";"  330036";"  960505";"  142981";"   45648";"   32183";"       0";"   33012";"   32138";"  493734";"  361689";"   75087";"   56958";"  323790";"   88766";"  125171";"  109853";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2002 December";"   31046";"     181";"   15136";"   14346";"     790";"   15114";"   14332";"     782";" 1385381";" 1322303";"   63078";" 1458070";" 1382635";"   75435";" 2843451";" 1836464";" 1515717";"  320747";" 1006987";"  147694";"   46217";"   34950";"       0";"   35256";"   31271";"  528920";"  381431";"   81707";"   65782";"  330373";"  101238";"  126132";"  103003";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2003 January";"   31342";"     309";"   15257";"   14547";"     710";"   15292";"   14567";"     725";" 1394786";" 1328372";"   66414";" 1352716";" 1288200";"   64516";" 2747502";" 1754994";" 1456223";"  298771";"  992508";"  150279";"   43014";"   35335";"       0";"   38330";"   33600";"  497324";"  352839";"   84739";"   59746";"  344905";"   97017";"  141969";"  105919";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2003 February";"   29540";"     298";"   14392";"   13655";"     737";"   14388";"   13656";"     732";" 1310574";" 1244155";"   66419";" 1358201";" 1279486";"   78715";" 2668775";" 1794268";" 1499185";"  295083";"  874507";"  142411";"   49401";"   28910";"       0";"   33844";"   30256";"  430647";"  297485";"   78651";"   54511";"  301449";"   78301";"  125163";"   97985";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2003 March";"   33536";"     379";"   16288";"   15379";"     909";"   16274";"   15369";"     905";" 1535286";" 1442485";"   92801";" 1483316";" 1395636";"   87680";" 3018602";" 2071769";" 1719513";"  352256";"  946833";"  139947";"   44571";"   31718";"       0";"   30848";"   32810";"  502530";"  363114";"   80353";"   59063";"  304356";"   72245";"  123682";"  108429";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2003 April";"   32563";"     322";"   15786";"   14537";"    1249";"   15774";"   14549";"    1225";" 1455492";" 1361064";"   94428";" 1557900";" 1402801";"  155099";" 3013392";" 2156829";" 1773195";"  383634";"  856563";"  122968";"   39603";"   29125";"       0";"   24997";"   29243";"  482273";"  343541";"   82292";"   56440";"  251322";"   67458";"  107236";"   76628";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2003 May";"   34976";"     366";"   16928";"   15189";"    1739";"   16968";"   15212";"    1756";" 1704497";" 1486279";"  218218";" 1689160";" 1458103";"  231057";" 3393657";" 2490478";" 1989496";"  500982";"  903179";"  119544";"   38327";"   29135";"       0";"   27063";"   25019";"  532927";"  399423";"   76814";"   56690";"  250708";"   91223";"   98317";"   61168";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2003 June";"   34593";"     325";"   16765";"   15127";"    1638";"   16746";"   15134";"    1612";" 1745817";" 1544473";"  201344";" 1798416";" 1568515";"  229901";" 3544233";" 2548756";" 2012930";"  535826";"  995477";"  125626";"   39280";"   28498";"       0";"   33706";"   24142";"  582663";"  441600";"   81841";"   59222";"  287188";"  102463";"  108755";"   75970";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2003 July";"   36914";"     311";"   18012";"   15679";"    2333";"   18024";"   15709";"    2315";" 1933355";" 1618691";"  314664";" 2142477";" 1740068";"  402409";" 4075832";" 2886991";" 2198323";"  688668";" 1188841";"  162577";"   61965";"   33234";"     555";"   38581";"   28242";"  656145";"  472350";"  108125";"   75670";"  370119";"  135418";"  135619";"   99082";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2003 August";"   36528";"     391";"   17863";"   15613";"    2250";"   17859";"   15629";"    2230";" 2130647";" 1760113";"  370534";" 1902276";" 1626945";"  275331";" 4032923";" 2797706";" 2152493";"  645213";" 1235217";"  172482";"   64002";"   36735";"    2393";"   39666";"   29686";"  651163";"  474121";"   98528";"   78514";"  411572";"  150506";"  135336";"  125730";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2003 September";"   35593";"     385";"   17253";"   15543";"    1710";"   17255";"   15558";"    1697";" 1852305";" 1628733";"  223572";" 1882204";" 1648310";"  233894";" 3734509";" 2628432";" 2060094";"  568338";" 1106077";"  156171";"   51583";"   35883";"    2567";"   35703";"   30435";"  585688";"  439311";"   80868";"   65509";"  364218";"  115434";"  118291";"  130493";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2003 October";"   36245";"     349";"   17551";"   15729";"    1822";"   17557";"   15783";"    1774";" 1908245";" 1651331";"  256914";" 1853040";" 1640709";"  212331";" 3761285";" 2631320";" 2040890";"  590430";" 1129965";"  168751";"   60785";"   34661";"    2446";"   36531";"   34328";"  583304";"  424828";"   94411";"   64065";"  377910";"  119958";"  127331";"  130621";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2003 November";"   32034";"     213";"   15531";"   14536";"     995";"   15523";"   14575";"     948";" 1489005";" 1397754";"   91251";" 1481085";" 1397087";"   83998";" 2970090";" 1980956";" 1613544";"  367412";"  989134";"  148179";"   46413";"   31949";"    2248";"   32403";"   35166";"  510367";"  352230";"   95622";"   62515";"  330588";"   91866";"  127464";"  111258";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2003 December";"   30512";"     256";"   14886";"   13937";"     949";"   14824";"   13912";"     912";" 1389921";" 1315777";"   74144";" 1457928";" 1364687";"   93241";" 2847849";" 1835351";" 1491893";"  343458";" 1012498";"  154311";"   51252";"   32719";"    2751";"   35619";"   31970";"  524144";"  356309";"  103736";"   64099";"  334043";"  102219";"  131792";"  100032";"       0";"       0";"       0"
"Amsterdam Airport Schiphol";"2004 January";"   30477";"     233";"   14849";"   13967";"     882";"   14913";"   14046";"     867";" 1386421";" 1296366";"   90055";" 1355259";" 1270518";"   84741";" 2741680";" 1712817";" 1394292";"  318525";" 1028863";"  166803";"   51686";"   35348";"    2759";"   41531";"   35479";"  511108";"  339284";"  104160";"   67664";"  350952";"  100198";"  146496";"  104258";"       0";"       0";"       0"
