year,source_country_code,target_country_code,net_flow_twh
2016,HRV,BIH,-3.43
2016,HRV,HUN,-3.42
2016,HRV,SRB,-1.34
2016,HRV,SVN,1.9
2016,HUN,AUT,-2.69
2016,HUN,HRV,3.42
2016,HUN,ROU,-0.39
2016,HUN,SRB,-0.48
2016,HUN,SVK,-8.37
2016,HUN,UKR,-4.37
2016,IRL,GBR,0.28
2016,ITA,AUT,-1.38
2016,ITA,CHE,-19.65
2016,ITA,FRA,-12.96
2016,ITA,GRC,1.73
2016,ITA,MLT,1.52
2016,ITA,SVN,-6.33
2016,LTU,BLR,-1.05
2016,LTU,LVA,-2.79
2016,LTU,POL,0.59
2016,LTU,RUS,-2.17
2016,LTU,SWE,-2.55
2016,LVA,EST,-2.91
2016,LVA,LTU,2.79
2016,LVA,RUS,-1.06
2016,MKD,BGR,-2.15
2016,MKD,GRC,2.82
2016,MKD,SRB,-1.87
2016,MLT,ITA,-1.52
2016,MNE,ALB,0.89
2016,MNE,BIH,-1.11
2016,MNE,SRB,-0.04
2016,NLD,BEL,6.94
2016,NLD,DEU,-15.59
2016,NLD,GBR,7.59
2016,NLD,NOR,-3.92
2016,NOR,DNK,4.87
2016,NOR,FIN,0.14
2016,NOR,NLD,3.92
2016,NOR,SWE,6.59
2016,POL,CZE,6.71
2016,POL,DEU,-8.81
2016,POL,LTU,-0.59
2016,POL,SVK,4.18
2016,POL,SWE,-2.59
2016,POL,UKR,-0.96
2016,ROU,BGR,4.1
2016,ROU,HUN,0.39
2016,ROU,SRB,1.33
2016,RUS,EST,-1.47
2016,RUS,FIN,5.84
2016,RUS,LTU,2.17
2016,RUS,LVA,1.06
2016,SRB,BGR,-1.13
2016,SRB,BIH,0.79
2016,SRB,HRV,1.34
2016,SRB,HUN,0.48
2016,SRB,MKD,1.87
2016,SRB,MNE,0.04
2016,SRB,ROU,-1.33
2016,SVK,CZE,-8.91
2016,SVK,HUN,8.37
2016,SVK,POL,-4.18
2016,SVK,UKR,2.12
2016,SVN,AUT,-3.34
2016,SVN,HRV,-1.9
2016,SVN,ITA,6.33
2016,SWE,DEU,0.66
2016,SWE,DNK,-2.06
2016,SWE,FIN,15.03
2016,SWE,LTU,2.55
2016,SWE,NOR,-6.59
2016,SWE,POL,2.59
2016,TUR,BGR,-4.59
2016,TUR,GRC,1.37
2016,UKR,HUN,4.37
2016,UKR,POL,0.96
2016,UKR,SVK,-2.12
2017,ALB,GRC,-1.62
2017,ALB,MNE,-1.21
2017,AUT,CHE,6.5
2017,AUT,CZE,-10.94
2017,AUT,DEU,-15.31
2017,AUT,HUN,4.98
2017,AUT,ITA,1.22
2017,AUT,SVN,5.83
2017,BEL,FRA,1.65
